dummy_transaction_id,dummy_consult_id,created_at,description,type,transaction_amount,refund_amount
1,3043,2022-06-16 12:50,capture,consult_payment,49,0
4,1603,2022-06-17 15:35,authorization,consult_payment,199,0
5,183,2022-06-18 22:34,authorization,consult_payment,79,0
7,708,2022-06-21 22:01,capture,consult_payment,49,0
9,1191,2022-06-24 6:05,authorization,consult_payment,99,0
10,4174,2022-06-24 8:17,authorization,consult_payment,49,0
11,2747,2022-06-24 14:17,authorization,consult_payment,49,0
12,3920,2022-06-26 15:28,authorization,consult_payment,79,0
14,3396,2022-06-27 18:58,authorization,consult_payment,49,0
15,2891,2022-06-27 19:50,capture,consult_payment,49,0
16,1435,2022-06-29 10:08,capture,consult_payment,49,0
17,1477,2022-06-30 9:57,authorization,consult_payment,49,0
18,4019,2022-06-30 10:56,capture,consult_payment,199,0
19,1551,2022-06-16 17:07,capture,consult_payment,49,0
20,182,2022-06-18 22:38,capture,consult_payment,79,0
21,561,2022-06-19 8:10,authorization,consult_payment,79,0
22,288,2022-06-20 23:55,authorization,consult_payment,49,0
24,1184,2022-06-24 0:19,authorization,consult_payment,99,0
25,4193,2022-06-24 13:25,capture,consult_payment,49,0
26,1205,2022-06-24 13:43,authorization,consult_payment,49,0
27,2760,2022-06-24 18:44,capture,consult_payment,49,0
28,2003,2022-06-25 8:48,authorization,consult_payment,79,0
29,4252,2022-06-25 20:40,capture,consult_payment,120,0
30,1296,2022-06-26 12:35,authorization,consult_payment,199,0
31,4037,2022-06-28 15:43,authorization,consult_payment,49,0
32,274,2022-06-20 18:05,capture,consult_payment,49,0
33,640,2022-06-20 18:31,capture,consult_payment,49,0
34,2630,2022-06-22 11:23,authorization,consult_payment,49,0
35,4156,2022-06-23 17:12,authorization,consult_payment,49,0
36,1182,2022-06-24 10:35,capture,consult_payment,49,0
37,3830,2022-06-24 16:41,capture,consult_payment,49,0
39,1047,2022-06-28 19:08,authorization,consult_payment,49,0
40,3079,2022-06-17 17:41,authorization,consult_payment,49,0
41,544,2022-06-18 18:19,authorization,consult_payment,79,0
42,234,2022-06-20 8:59,authorization,consult_payment,49,0
43,1847,2022-06-22 7:52,authorization,consult_payment,49,0
44,3738,2022-06-22 14:42,capture,consult_payment,34,0
45,1143,2022-06-23 8:54,authorization,consult_payment,49,0
46,2720,2022-06-23 21:00,capture,consult_payment,49,0
47,1287,2022-06-26 7:57,capture,consult_payment,79,0
48,915,2022-06-26 12:54,authorization,consult_payment,79,0
49,915,2022-06-26 13:07,capture,consult_payment,79,0
50,2888,2022-06-27 18:28,authorization,consult_payment,49,0
51,4390,2022-06-28 15:32,authorization,consult_payment,49,0
52,1461,2022-06-29 18:54,capture,consult_payment,49,0
53,2994,2022-06-15 12:21,capture,consult_payment,49,0
54,1487,2022-06-15 14:12,authorization,consult_payment,49,0
55,21,2022-06-15 17:22,authorization,consult_payment,49,0
56,1551,2022-06-16 17:02,authorization,consult_payment,49,0
57,129,2022-06-17 16:51,capture,consult_payment,49,49
58,561,2022-06-19 8:28,capture,consult_payment,79,0
59,1821,2022-06-21 16:39,capture,consult_payment,49,0
60,4103,2022-06-22 17:42,authorization,consult_payment,49,0
61,1920,2022-06-23 14:10,capture,consult_payment,49,0
62,1182,2022-06-24 10:22,authorization,consult_payment,49,0
63,837,2022-06-24 14:23,capture,consult_payment,49,0
64,3945,2022-06-27 8:47,authorization,consult_payment,49,0
65,1046,2022-06-28 18:39,capture,consult_payment,49,0
66,2278,2022-06-16 12:44,authorization,consult_payment,49,0
